ENGLISH	FRANÇAIS	DEUTSCH	ESPAÑOL	ITALIANO	SVENSKA
					
PLAY	NOUVELLE PARTIE	SPIEL STARTEN	JUGAR	NUOVA PARTITA	STARTA
SAVED GAME	CHARGER PARTIE	GESICHERTE SPIELE	JUEGOS SALVADOS	GIOCATORE SALVATO	SPARAD SPELARE
OPTIONS	OPTIONS	OPTIONEN	OPCIONES	OPZIONI	ALTERNATIV
QUIT	QUITTER	ZURÜCK IN DIE GEGENWART	SALIR	ESCI	AVSLUTA
1 PLAYER	1 JOUEUR	1 SPIELER	1 JUGADOR	1 GIOCATORE	1 SPELARE
2 PLAYER	2 JOUEURS	2 SPIELER	2 JUGADORES	2 GIOCATORI	2 SPELARE
NET GAME	PARTIE RÉSEAU	NETZWERK-SPIEL	JUGAR EN RED	PARTITA IN RETE	NÄTVERKSSPEL
SETTINGS	PARAMÈTRES DE JEU	EINSTELLUNGEN	OPCIONES	IMPOSTAZIONI	INSTÄLLNINGAR
HELP	AIDE	HILFE	AYUDA	AIUTO	HJÄLP
CREDITS	CRÉDITS	CREDITS	CRÉDITOS	CREDITI	TACK TILL
PHYSICS EDITOR	ÉDITEUR PHYSIQUE	PHYSIK EDITOR		EDITOR PARAMETRI FISICI	
					
RACE	COURSE	RENNEN	CARRERA	CORSA	TÄVLA
KEEP AWAY TAG	CHAT LÉPREUX	FANGEN	JUEGO SUCIO	MODIFICA DI LEPER	
STAMPEDE TAG	CHAT SAUVE QUI PEUT	WILDE FLUCHT	CORRER EN ESTAMPIDA	MODIFICA DI FUGA PRECIPITOSA	
SURVIVAL	SURVIE	ÜBERLEBEN	SUPERVIVENCIA	SOPRAVVIVENZA	ÖVERLEVA
QUEST FOR FIRE	QUETE DU FEU	SUCHE NACH FEUER	BÚSQUEDA DEL FUEGO	RICERCA PER FUOCO	JAKTEN PÅ ELDEN
					
PRACTICE	ENTRAINEMENT	TRAINING	PRACTICA	PRATICA	TRÄNING
TOURNAMENT	TOURNOI	TURNIER	COMPETICIÓN	TORNEI	TURNERING
					
STONE AGE	ÂGE DE PIERRE	STEINZEIT	EDAD DE PIEDRA	ETÀ DELLA PIETRA	STENÅLDERN
BRONZE AGE	ÂGE DE BRONZE	BRONZEZEIT	EDAD DE BRONCE	ETÀ DEL BRONZO	BRONSÅLDERN
IRON AGE	ÂGE DE FER	EISENZEIT	EDAD DE HIERRO	ETÀ DEL FERRO	JARNÅLDERN
COMPLETE	CONQUIS				
					
OBJECTIVE COMPLETE	OBJECTIF ATTEINT				
OBJECTIVE INCOMPLETE	OBJECTIF INACHEVÉ				
					
HOST NET GAME	DÉMARRER UN SERVEUR	NETZSPIEL ANBIETEN	SERVIDOR DEL JUEGO		VÄRD FOR NÄTVERKSSPEL
JOIN NET GAME	JOINDRE UN SERVEUR	AN NETZSPIEL TEILNEHMEN	JUGAR EN INTERNET		GÅ MED I NÄTVERKSSPEL
					
RESUME GAME	REPRENDRE	SPIEL FORTSETZEN	REANUDAR EL JUEGO	CONTINUA	ÅTERUPPTA SPELET
RETIRE GAME	ABANDONNER	SPIEL ABBRECHEN	RETIRARSE	ANNULLA	DRA DIG UR SPELET
QUIT APPLICATION	QUITTER	PROGRAMM BEENDEN	CERRAR EL JUEGO	ESCI DAL GIOCO	AVSLUTA PROGRAMMET
					
TRY AGAIN	RÉESSAYER	NOCHMAL VERSUCHEN	INTENTARLO DE NUEVO	PROVA ANCORA	
RETIRE	ABANDONNER	AUFGEBEN	RETIRARSE	ESCI	
					
PRESS ANY KEY	APPUIE SUR UNE TOUCHE	TASTE DRÜCKEN	TOCA CUALQUIER TECLA	PREMI UN TASTO	
					
1 TRY REMAINING	1 ESSAI RESTANT	1 VERSUCH ÜBRIG	1 NUEVA OPORTUNIDAD		1 FÖRSÖK KVAR
2 TRIES REMAINING	2 ESSAIS RESTANTS	2 VERSUCHE ÜBRIG	2 OPORTUNIDADES MAS		2 FÖRSÖK KVAR
3 TRIES REMAINING	3 ESSAIS RESTANTS	3 VERSUCHE ÜBRIG	3 OPORTUNIDADES MAS		3 FÖRSÖK KVAR
					
LAP 2	TOUR 2	RUNDE 2	SEGUNDA VUELTA	SECONDO GIRO	VARV 2
FINAL LAP	DERNIER TOUR	LETZTE RUNDE	ULTIMA VUELTA	ULTIMO GIRO	SISTA VARVET
					
PLAYER 1	JOUEUR 1	SPIELER 1	JUGADOR 1	GIOCATORE 1	SPELARE 1
PLAYER 2	JOUEUR 2	SPIELER 2	JUGADOR 2	GIOCATORE 2	SPELARE 2
					
BROG	BROG	BROG	BROG	BROG	BROG
GRAG	GRAG	GRAG	GRAG	GRAG	GRAG
					
DESERT	DÉSERT	WÜSTE	DESIERTO	DESERTO	ÖKNEN
JUNGLE	JUNGLE	DSCHUNGEL	JUNGLA	GIUNGLA	DJUNGELN
GLACIERS	GLACIER	GLETSCHER	GLACIAR	GHIACCIAIO	GLACIÄREN
CRETE	CRÈTE	KRETA	CRETA	CRETA	KRETA
THE GREAT WALL	GRANDE MURAILLE	GROSSE MAUER	GRAN MURALLA	GRANDE MURAGLIA	DEN STORA MUREN
GIZA	GIZEH	GIZEH	GIZA	GIZA	GIZA
MEDIEVAL	MÉDIÉVAL	MITTELALTER	MEDIEVAL	MEDIOEVO	MEDELTIDEN
VIKING VILLAGE	VILLAGE VIKING	WIKINGERDORF	PUEBLO VIKINGO	VILLAGGIO VICHINGO	VIKINGABYN
ATLANTIS	ATLANTIDE	ATLANTIS	ATLANTIS	ATLANTIDE	ATLANTIS
STONEHENGE	STONEHENGE				
AZTEC CITY	CITÉ AZTÈQUE				
COLISEUM	COLISÉE				
MAZE	LABYRINTHE				
CELTIC	CELTIQUE				
TAR PITS	GISEMENTS				
MOUNT CONGE	MONT CONGE				
RAMPS	RAMPES				
					
MAMMOTH MOBILE	MAMMOUTH MOBILE				
BONE BUGGY	SQUELETTITINE				
GEODE CRUISER	GÉODEUDEUCHE				
LOGMOBILE	TURBO TRONC				
TURTLE TANK	DÉCAPO TORTUE				
HOT ROCK	CHOPATATE				
TROJAN HORSE	CHEVAL DE TROIE				
OBELISK	OBÉLISQUE				
CATAPULT	CATAPULTE				
CHARIOT	CHARIOT				
SUBMARINE	SOUS MARIN				
					
SPEED	VITESSE	GESCHWINDIGKEIT	VELOCIDAD	VELOCITÀ	FART
ACCELERATION	ACCÉLÉRATION	BESCHLEUNIGUNG	ACELERACIÓN	ACCELERAZIONE	ACCELERATION
TRACTION	ADHÉRENCE	HAFTUNG	AGARRE	ADERENZA	VÄGGREPP
SUSPENSION	SUSPENSION	RADAUFHÄNGUNG	SUSPENSIÓN	SOSPENSIONI	FJÄDRING
					
ELIMINATED	ÉLIMINÉ				
YOU WIN	TU AS GAGNÉ				
YOU LOSE	PERDU				
WINS	A GAGNÉ				
					
BONE BOMB	BOMBE FÉMUR	KNOCHENBOMBE		OSSO BOMBA	BENBOMB
OIL SLICK	TACHE D'HUILE	ÖLSCHLICK		GOCCE D'OLIO	OLJEFLÄCK
NITRO	NITRO	NITRO		NITRO	NITRO
HOMING PIGEON	PIGEON VOYAGEUR	BRIEFTAUBE		PICCIONE VIAGGIATORE	SÖKARDUVA
BOTTLE ROCKET	FUSÉE EN BOUTEILLE	FLASCHENRAKETE		BOMBA AREA A RAZZO	FLASKRAKET
ROMAN CANDLE	CHANDELLE ROMAINE	LEUCHTKUGEL		CANDELA ROMANA	ROMERSKT LJUS
TORPEDO	TORPILLE	TORPEDO		SILURO	TORPED
FREEZE BOMB	BOMBE GLAÇANTE	FROSTBOMBE		BOMBE CONGELANTI	FRYSBOMB
LAND MINE	MINE	LANDMINE		MINA DI TERRA	LANDMINA
STICKY TIRES	PNEUS ADHÉRENTS	SPIKES RÄDER		GOMME ADERENTI	GREPPDÄCK
SUPER SUSPENSION	SUPER SUSPENSIONS	SUPER RAUDAUFHÄNGUNG		SUPER SOSPENSIONI	SUPERFJÄDRING
INVISIBILITY	INVISIBILITÉ	UNSICHTBARKEIT		INVISIBILITÀ	OSYNLIGHET
